         NOMBRE DE TORNEO,FECHA,       BUY IN,TOTAL PAGADO,ITM,    POSICIÓN,TOTAL PLAYERS,      PREMIO,TIPO,JUGADORES POR MESA,Mesa Final,CIEGAS INICIALES,TIEMPO POR NIVEL DE CIEGA (MINS),REGISTRO TARDIO (MINS),CIEGAS AL CIERRE DE BURBUJA
SUPERSTACK 2000 E GTD,28/09/2024,"5,00 €","5,00 €",SI,23,609,"23,27 €",NORMAL,6,-17,124,10,131,85
DESPERADO 3000E GTD,28/09/2024,"5,00 €","5,00 €",NO,569,1033,"1,69 €",PKO,6,-563,120,6,90,0
MYSTERY KO,28/09/2024,"5,00 €","5,00 €",NO,264,720,"0,00 €",MYSTERY,6,-258,20,7,4,0
MYSTERY FEVER 10000 E GTD,29/09/2024,"10,00 €","20,00 €",NO,631,1944,"0,00 €",MYSTERY,8,-623,42,5,67,0
GS SAT,29/09/2024,"2,00 €","2,00 €",NO,74,99,"0,00 €",SAT,8,-66,99,5,12,0
GS SAT,29/09/2024,"1,00 €","1,00 €",NO,12,21,"0,00 €",SAT,8,-4,16,5,6,0
GS SAT,29/09/2024,"5,00 €","5,00 €",NO,32,78,"0,00 €",SAT,6,-26,100,5,21,0
GS SAT,29/09/2024,"2,00 €","2,00 €",NO,45,54,"0,00 €",SAT,8,-37,34,5,17,0
GS SUNDAY KICKOFF,29/09/2024,"20,00 €","20,00 €",SI,474,4320,"51,98 €",PKO,8,-466,400,10,188,36
GS SAT,29/09/2024,"10,00 €","10,00 €",NO,22,56,"0,00 €",SAT,6,-16,100,5,30,0
SUNDAY MINI 4000 E GTD,29/09/2024,"5,00 €","5,00 €",SI,81,1449,"18,15 €",NORMAL,9,-72,25,8,37,83
GS SAT,29/09/2024,"2,00 €","2,00 €",SI,1,157,"0,00 €",SAT,8,7,100,5,30,0
MYSTERY FEVER 7500 E GTD,29/09/2024,"5,00 €","5,00 €",NO,1182,1980,"0,00 €",MYSTERY,8,-1174,83,8,95,0
GS SUPER CLASSIC,29/09/2024,"20,00 €","0,00 €",NO,2858,6949,"0,00 €",MYSTERY,9,-2849,100,6,135,0
GS GOALKEEPER,29/09/2024,"10,00 €","20,00 €",NO,1923,2564,"0,00 €",NORMAL,8,-1915,125,5,80,0
MYSTERY FEVER 10000 E GTD,29/09/2024,"10,00 €","10,00 €",NO,864,1124,"0,00 €",MYSTERY,8,-856,125,5,75,0
BOUNTY BUILDER 1000 GTD,29/09/2024,"5,00 €","5,00 €",SI,34,609,"23,77 €",PKO,6,-28,100,5,65,7
MINI HOT STACK,29/09/2024,"5,00 €","5,00 €",NO,225,1263,"0,00 €",NORMAL,9,-216,125,5,58,0
BOUNTY BUILDER ,30/09/2024,"10,00 €","10,00 €",NO,133,583,"6,75 €",PKO,6,-127,84,5,43,0
KO PROGRESIVO 1500 GTD,30/09/2024,"10,00 €","10,00 €",NO,86,154,"0,00 €",PKO,6,-80,40,3,24,0
SUPER STACK TURBO,30/09/2024,"5,00 €","5,00 €",NO,246,643,"0,00 €",NORMAL,6,-240,50,5,44,0
MYSTERY KO,30/09/2024,"5,00 €","5,00 €",NO,236,845,"0,00 €",MYSTERY,6,-230,57,3,18,0
KO PROGRESIVO 1000 E GTD,30/09/2024,"5,00 €","5,00 €",NO,106,268,"0,00 €",PKO,6,-100,25,5,7,0
MYSTERY FEVER 7500 E GTD,1/10/2024,"5,00 €","5,00 €",NO,784,2044,"0,00 €",MYSTERY,8,-776,20,8,30,0
MINI THUNDER 30000 E GTD,1/10/2024,"10,00 €","10,00 €",SI,202,3412,"36,55 €",MYSTERY,8,-194,100,8,120,39
BOUNTY BUILDER 1000 GTD,1/10/2024,"5,00 €","5,00 €",NO,103,528,"1,13 €",PKO,6,-97,83,8,90,0
MYSTERY FEVER 10000 E GTD,2/10/2024,"10,00 €","20,00 €",SI,130,1502,"18,93 €",MYSTERY,8,-122,100,5,65,37
FAST TRACK MONSTER,2/10/2024,"5,00 €","5,00 €",SI,1,170,"0,00 €",SAT,8,7,200,6,87,40
MINI HOT BIG STACK,2/10/2024,"5,00 €","10,00 €",NO,646,785,"0,00 €",NORMAL,9,-637,500,5,90,0
BOUNTY BUILDER 3000 GTD,3/10/2024,"10,00 €","10,00 €",NO,239,545,"0,00 €",PKO,6,-233,100,4,65,0
KO PROGRESIVO 1000 E GTD,3/10/2024,"5,00 €","10,00 €",NO,321,415,"0,00 €",PKO,9,-312,100,5,42,0
KO PROGRESIVO 1500 GTD,3/10/2024,"10,00 €","20,00 €",NO,79,96,"0,00 €",PKO,6,-73,100,5,34,0
MYSTERY FEVER 10000 E GTD,3/10/2024,"10,00 €","10,00 €",NO,838,1221,"0,00 €",MYSTERY,8,-830,50,5,37,0
MINI HOT BIG STACK,3/10/2024,"5,00 €","10,00 €",NO,607,1355,"0,00 €",NORMAL,9,-598,312,5,80,0
SUPER STACK TURBO,3/10/2024,"10,00 €","10,00 €",SI,41,296,"16,44 €",NORMAL,6,-35,68,5,56,22
BOUNTY BUILDER 3000 GTD,4/10/2024,"10,00 €","10,00 €",SI,25,558,"36,94 €",PKO,6,-19,24,5,25,91
SUPERSTACK 1000GTD,6/10/2024,"5,00 €","5,00 €",NO,265,619,"0,00 €",NORMAL,6,-259,19,5,12,0
PROGRESIVE KO 1000 E GTD,6/10/2024,"5,00 €","5,00 €",NO,236,465,"0,00 €",PKO,6,-230,40,5,28,0
KO PROGRESIVO 1000 E GTD,6/10/2024,"10,00 €","10,00 €",NO,109,189,"0,00 €",PKO,6,-103,66,5,24,0
MYSTERY 400000 E GTD,6/10/2024,"50,00 €","5,00 €",NO,2696,6754,"0,00 €",MYSTERY,6,-2690,157,20,12,0
MYSTERY FEVER 15000 ,6/10/2024,"10,00 €","10,00 €",NO,726,783,"0,00 €",MYSTERY,8,-718,125,8,115,0
EL CLASICO MYSTERY,6/10/2024,"10,00 €","10,00 €",NO,3032,6453,"0,00 €",MYSTERY,9,-3023,100,8,82,0
SUNDAY STORM,6/10/2024,"20,00 €","20,00 €",NO,236,786,"6,75 €",PKO,8,-228,125,10,167,0
MYSTERY FEVER 10000 E GTD,6/10/2024,"5,00 €","5,00 €",NO,1282,2111,"0,00 €",MYSTERY,8,-1274,50,8,69,0
BLAZE 5000 E GTD,6/10/2024,"20,00 €","20,00 €",NO,163,205,"0,00 €",PKO,6,-157,167,8,79,0
MYSTERY FEVER 10000 E GTD,6/10/2024,"10,00 €","10,00 €",SI,250,1704,"15,73 €",MYSTERY,8,-242,125,5,75,6
MINI HOT BIG STACK,6/10/2024,"5,00 €","5,00 €",NO,436,1334,"0,00 €",NORMAL,9,-427,500,5,90,0
BOUNTY BUILDER 3000 GTD,7/10/2024,"10,00 €","10,00 €",NO,216,444,"2,25 €",PKO,6,-210,100,5,51,0
NOCHE BLANCA,7/10/2024,"5,00 €","5,00 €",NO,601,1432,"0,00 €",PKO,6,-595,100,5,50,0
KO PROGRESIVO 1000 E GTD,7/10/2024,"5,00 €","5,00 €",NO,156,254,"1,13 €",PKO,9,-147,66,5,33,0
SUPER STACK 2000 E GTD,7/10/2024,"5,00 €","5,00 €",NO,225,332,"0,00 €",NORMAL,6,-219,125,5,77,0
SUPER STACK 2000 E GTD,7/10/2024,"5,00 €","5,00 €",NO,244,614,"0,00 €",NORMAL,6,-238,100,10,105,0
KO PROGRESIVO 2000 E GTD,7/10/2024,"10,00 €","10,00 €",SI,41,302,"14,04 €",PKO,9,-32,50,10,78,34
MYSTERY FEVER 9000 E GTD,8/10/2024,"10,00 €","10,00 €",NO,542,963,"0,00 €",MYSTERY,8,-534,71,8,89,0
ULTRA KO 1500 E GTD,8/10/2024,"10,00 €","10,00 €",NO,141,170,"0,00 €",PKO,6,-135,125,8,100,0
KO PROGRESIVO 4000 E GTD,8/10/2024,"10,00 €","10,00 €",NO,341,624,"0,00 €",PKO,6,-335,200,8,120,0
SUPER STACK 5000 E GTD,8/10/2024,"5,00 €","10,00 €",SI,88,1045,"14,02 €",NORMAL,6,-82,200,10,150,70
MYSTERY FEVER 7500 E GTD,8/10/2024,"5,00 €","5,00 €",SI,327,2263,"7,95 €",MYSTERY,8,-319,125,8,120,10
BOUNTY BUILDER 2000 GTD,8/10/2024,"5,00 €","5,00 €",NO,398,546,"0,00 €",PKO,6,-392,83,8,84,0
MYSTERY 30000 E GTD,8/10/2024,"10,00 €","10,00 €",NO,1587,2902,"0,00 €",MYSTERY,8,-1579,200,8,150,0
BOUNTY BUILDER 1000 GTD,8/10/2024,"5,00 €","5,00 €",SI,55,540,"8,92 €",PKO,6,-49,100,8,120,59
