fecha,buy_in,total_pagado,itm,posicion,total_jugadores,premio,tipo,jugadores_por_mesa,mesa_final,ciegas_iniciales,tiempo_de_ciega,registro_tardio,ciegas_en_burbuja
2024-10-29,"10,00","10,00",False,93,360,"2,25",PKO,6,False,"40,00",10,"68,00","0,00"
2024-10-29,"10,00","10,00",True,59,779,"32,36",PKO,6,False,"125,00",10,"123,00","57,00"
2024-10-29,"5,00","10,00",False,1121,3211,"0,00",MYSTERY,8,False,"71,00",8,"90,00","0,00"
2024-10-29,"10,00","10,00",False,1619,2832,"0,00",MYSTERY,8,False,"166,00",8,"140,00","0,00"
2024-10-29,"10,00","10,00",False,751,1444,"0,00",MYSTERY,8,False,"62,00",5,"50,00","0,00"
2024-10-29,"5,00","5,00",False,245,511,"0,00",PKO,6,False,"83,00",5,"58,00","0,00"
2024-10-29,"5,00","5,00",False,615,1108,"0,00",NORMAL,9,False,"500,00",5,"90,00","0,00"
2024-10-29,"10,00","10,00",True,25,463,"29,48",PKO,6,False,"100,00",4,"65,00","29,00"
2024-10-30,"5,00","5,00",False,108,479,"0,00",NORMAL,6,False,"20,00",5,"16,00","0,00"
2024-10-30,"5,00","5,00",False,124,257,"1,13",PKO,6,False,"66,00",5,"31,00","0,00"
2024-10-30,"10,00","20,00",False,466,1034,"0,00",MYSTERY,8,False,"71,00",8,"90,00","0,00"
2024-10-30,"10,00","10,00",False,32,267,"16,00",PKO,6,False,"166,00",8,"105,00","0,00"
2024-10-30,"5,00","5,00",False,909,2348,"0,00",PKO,6,False,"40,00",5,"25,00","0,00"
2024-10-30,"10,00","20,00",False,859,1807,"0,00",PKO,8,False,"50,00",8,"80,00","0,00"
2024-10-30,"10,00","10,00",False,338,556,"0,00",PKO,6,False,"100,00",8,"123,00","0,00"
2024-10-30,"5,00","5,00",False,1063,1663,"0,00",MYSTERY,8,False,"125,00",8,"120,00","0,00"
2024-10-30,"10,00","10,00",False,326,357,"0,00",PKO,8,False,"100,00",8,"99,00","0,00"
2024-10-30,"5,00","5,00",False,892,2432,"0,00",PKO,6,False,"50,00",6,"30,00","0,00"
2024-10-30,"5,00","5,00",True,78,818,"7,88",NORMAL,6,False,"100,00",5,"53,00","7,00"
2024-10-30,"10,00","10,00",True,231,1391,"16,05",MYSTERY,8,False,"125,00",5,"75,00","1,00"
2024-10-30,"5,00","5,00",False,306,382,"0,00",PKO,6,False,"100,00",5,"85,00","0,00"
2024-10-30,"5,00","5,00",False,629,869,"0,00",NORMAL,9,False,"500,00",5,"90,00","0,00"
2024-10-31,"5,00","5,00",False,160,285,"1,13",PKO,9,False,"166,00",5,"54,00","0,00"
